recall,precision,threshold
0.993421052631579,0.4637074260189838,6.1324956848529945e-06
0.993421052631579,0.4637721625017451,6.231687891392116e-06
0.993421052631579,0.4638369170622731,6.357194885540958e-06
0.993421052631579,0.46390168970814133,6.5236808735676115e-06
0.993421052631579,0.4639664804469274,6.53994775022843e-06
0.993421052631579,0.4640312892862132,6.577649350724101e-06
0.993122009569378,0.4639564124056999,6.753428078092417e-06
0.993122009569378,0.46402123794886124,6.792710916123489e-06
0.993122009569378,0.4640860816098379,6.882868972375401e-06
0.993122009569378,0.4641509433962264,6.89212009323336e-06
0.993122009569378,0.4642158233156276,7.091195244549289e-06
0.992822966507177,0.4641409198937509,7.1774537000473784e-06
0.992822966507177,0.46420581655480986,7.255504215148786e-06
0.992822966507177,0.4642707313662425,7.471308013141414e-06
