simulacao,win_start,win_end,src,tgt,krlflow,tsmi,te,gc,gate,r2_auto,r2_gain_max,lag_cons,is_true
1,6600,7200,0,1,0.2263027912104762,0.6736380856077937,0.015827925610461202,0.9999999998884502,0.9998664755346655,0.6741370308051535,0.23857696535993161,0.5059564465773015,
1,6600,7200,1,0,0.1812307353931288,0.6211853787700872,0.00784869232303076,0.9999999996152136,0.9082372329844807,0.7448698234901325,0.18442469684456386,0.5031868442023143,
1,7200,7800,0,1,0.33899669929329684,0.48698551981482985,0.0009134973900095655,0.9989555463789838,0.9999999857823225,0.7194620487085195,0.3448644283288079,0.5040546033283373,
1,7200,7800,1,0,0.17549508000892736,0.2347751511345667,0.0036357493369199023,0.4920292651393494,0.999457894492287,0.9394008719050255,0.17994773428671754,0.5028737125330683,
1,7800,8400,0,1,0.2201663628112424,0.10885756985248274,0.0,0.7004994877973725,0.20380161284400072,0.52555819590291,0.2239302446172585,0.5021852025050604,
1,7800,8400,1,0,0.2730601445968881,0.16511646917660583,0.0,0.8089818771750401,0.9705378229146991,0.6199494803380567,0.27456186896315105,0.501110007944537,
1,8400,9000,0,1,0.20899323568602948,0.03838471738235405,0.0,0.05864684210121185,0.9996813355641663,0.5773564870109296,0.2106644386871138,0.5013634428508995,
1,8400,9000,1,0,0.21462465547421355,0.24626668798712992,0.0,0.47412849254479306,0.999772645351496,0.6817611448781125,0.2180060306668529,0.5032848999386381,
1,9000,9600,0,1,0.20368501272429584,0.8488454818259777,0.0,0.8380811347655488,0.930315657213653,0.8634454584380543,0.207234113599749,0.502058290563435,
1,9000,9600,1,0,0.20708604183762624,0.716804043897536,0.0067841744748660116,0.9999998874563283,0.47734765255576556,0.760862454924168,0.20791400170302865,0.5005051439243433,
1,9600,10200,0,1,0.2375637684122364,0.3627187200717926,0.00038503988563820535,0.769160377976666,0.9994362450043975,0.8352302812238603,0.24261131610535924,0.5044432574658837,
1,9600,10200,1,0,0.22187744580743193,0.4002837524128465,0.0,0.8870772830844118,0.9996340932815676,0.8382962596489165,0.2260581904168036,0.503930956823711,
1,10200,10800,0,1,0.16430803420201756,0.7679323527303804,0.0020765954064256853,0.8588773500619903,0.9995838578429476,0.9128991649464719,0.16691114719611183,0.5013778499601952,
1,10200,10800,1,0,0.18356959493529973,0.7562743098285146,0.0,0.731429773608268,0.9999418922743237,0.9357172815885382,0.18397858661983538,0.5003159780606043,
1,10800,11400,0,1,0.3336097080871507,0.5739102399867906,0.007751204486198038,0.9999999999999999,0.9999894278949351,0.5737403336443996,0.3492756341946861,0.5110065284850331,
1,10800,11400,1,0,0.33190920732173085,0.5582367030053018,0.001598697179692854,0.9999999999997622,0.9998556359223476,0.6540657662841443,0.3333656070220822,0.5010861376917207,
1,11400,12000,0,1,0.22837673884324816,0.6388584818249223,0.0,0.6347673725690643,0.96349500628517,0.8694681307260588,0.2314887743302088,0.502362506659791,
1,11400,12000,1,0,0.21604280870152215,0.4325812452280855,0.0015462278400530938,0.45355289313764835,0.8986435925388002,0.8706969632571644,0.21671346512237064,0.5006096442918535,
1,12000,12600,0,1,0.3118469556528696,0.27645334331848403,0.009509958065467172,0.8153763513615202,0.9957304573629718,0.529181537272243,0.313409480182825,0.5014148620214018,
1,12000,12600,1,0,0.2524411815944614,0.35956320864780633,0.0032506829967144935,0.012833980547512613,0.5725881286210349,0.6543107234122294,0.2569697211405107,0.5036375370613164,
1,12600,13200,0,1,0.1787022167273774,0.864307021666864,0.0,0.7172208676878552,0.9999461089014207,0.910429221572425,0.17988104643205866,0.5010579834463327,
1,12600,13200,1,0,0.2236920090089915,0.6623392164369659,0.0,0.6187088695632891,0.9999894120724195,0.7857260453683965,0.23238700132372844,0.5043086094474721,
1,13200,13800,0,1,0.2677082906523545,0.3647992140780997,0.004306397649189719,0.28106603469571567,0.6697629446394713,0.5992355087774058,0.2696936851134058,0.5007803925204481,
1,13200,13800,1,0,0.2230012440512923,0.4010923336419293,0.0023660198064718863,0.34523377268619415,0.0018602727799666642,0.6192080646403959,0.22552447081917004,0.5012622219950905,
1,13800,14400,0,1,0.17590582762566476,0.8574853186939897,0.003982226269373612,0.659674354223973,0.9992281451380476,0.9476869247332093,0.1761905045094464,0.500170503999984,
1,13800,14400,1,0,0.15892342327320721,0.8903696119439739,0.0,0.5114738501437691,0.982641445595116,0.9781103569340026,0.1595897832986686,0.5004379811547395,
1,14400,15000,0,1,0.33102846090191673,0.17150915339405126,0.0031055973196578712,0.847496852804446,0.9999924292472279,0.6075484377208539,0.33294031158489684,0.5009692096937169,
1,14400,15000,1,0,0.2264359225067733,0.21599080531913029,0.01703219970377612,0.6187520248779379,0.048178207421413315,0.5957784191471989,0.22912017481448418,0.5020363876793577,
1,15000,15600,0,1,0.3126377220813992,0.7700540905551879,0.0,0.49696319152056256,0.9999987436268691,0.6825279554870427,0.31635264040140054,0.5017871765296023,
1,15000,15600,1,0,0.24614078777265222,0.6345375201727187,0.0029462325169913317,0.9999974565459858,0.9987478994562038,0.8042095699250341,0.24776839322345381,0.5015760328932961,
1,15600,16200,0,1,0.21889687778317504,0.217232627259203,0.005118249722062096,0.24602957947697868,0.9602011414666005,0.43945569266788176,0.2275106704091467,0.5039466617569446,
1,15600,16200,1,0,0.2462209719359597,0.2305322098325815,0.0,0.9455748229917978,0.9329859806601506,0.3712087316360684,0.259907980259921,0.5091986862938941,
1,16200,16800,0,1,0.19994384461484233,0.5485536251458383,0.0,0.8431253989990084,0.9988224174133336,0.8077410188064584,0.20158976963439804,0.5012574524031075,
1,16200,16800,1,0,0.19528806945022148,0.7613830751557568,0.0008897951860369346,0.28331351203071764,0.9566490811184349,0.8443706806274112,0.20081861470192447,0.503710774371511,
1,16800,17400,0,1,0.3299357720032776,0.3770994355078514,0.0,0.08134641563215927,0.9997541553988674,0.5005566946479066,0.3321856138884792,0.5019704724871195,
1,16800,17400,1,0,0.249919393001578,0.46962680882939145,0.0,0.7966374899945103,0.5536434491298469,0.6671034439837333,0.2612245713108845,0.5068426752908582,
1,17400,18000,0,1,0.15034094833667574,0.6093782942765409,0.0,0.5069298292012043,0.9990342864717044,0.9806402192685808,0.15145961310230258,0.5010046515109281,
1,17400,18000,1,0,0.15479102041372172,0.5943015359660464,0.003657984446576945,0.11746448802451204,0.9987552008224476,0.9656864302995798,0.1565861481933808,0.5012491932698249,
1,18000,18600,0,1,0.26411305000727175,0.3322425809196725,0.019703420604125332,0.37817025519669956,0.9997622292996025,0.5552389622235989,0.273913559909264,0.5071566529118624,
1,18000,18600,1,0,0.34123515537769933,0.2111861077741234,0.001134073521198875,0.36294844368869317,0.9999983598223913,0.5672010532671109,0.34430569737211225,0.5013583873669742,
1,18600,19200,0,1,0.26314912518965156,0.4422866189565582,0.0,0.9667076718470884,0.801304574565116,0.5968675950902236,0.26566665175490367,0.5018343572214823,
1,18600,19200,1,0,0.20201961744440042,0.2525167267549757,0.002684300008374052,0.7959601842039747,0.4389454750028098,0.5539472475830224,0.20407499291306078,0.5010770503249826,
1,19200,19800,0,1,0.21535453392414924,0.1105513377076528,0.0,0.432403594027191,0.9999931465366215,0.5366847481895695,0.22005029520489316,0.5027203365334271,
