simulation,win_start,win_end,src,tgt,krlflow,tsmi,te,gc,spatial,knn,dtw,gate,r2_auto,r2_gain_max,lag_cons,is_true
8,0,200,111,100,0.0,0.053003533568904596,0.06310679611650485,0.13636363636363635,11.112850452343105,0.3281914605186314,5.892367945062494,0.9987122170154453,0.28272124198245885,0.066011939190746,0.507015048419736,0
8,0,200,112,100,0.0,0.053003533568904596,0.06310679611650485,0.06752411575562701,12.806248474865697,0.27163264222509087,7.093659140387279,0.9998388674841342,0.28272124198245885,0.08973723351710883,0.5100391839449535,0
8,0,200,113,100,0.0,0.0,0.03389830508474576,0.05102040816326531,10.44030650891055,0.24418545711057218,5.531726674375733,0.9994979182759219,0.28272124198245885,0.07926033615581463,0.510839328017024,0
8,0,200,114,100,0.053691275167785234,0.053003533568904596,0.029940119760479042,0.06927710843373494,11.704699910719626,0.26613489765225756,5.716642371182581,0.9999459502222803,0.28272124198245885,0.1007308715920644,0.510267362269399,0
8,0,200,115,100,,,,,30.99873486150417,,,,,,,0
8,0,200,116,100,,,,,23.555814282611255,,,,,,,0
8,0,200,117,100,,,,,25.113237203195098,,,,,,,0
8,0,200,118,100,,,,,31.89164399958749,,,,,,,0
8,0,200,119,100,,,,,19.139980715723777,,,,,,,0
8,0,200,120,100,,,,,36.3515042846752,,,,,,,0
8,0,200,121,100,,,,,34.67008284945787,,,,,,,0
8,0,200,122,100,,,,,25.180862324424744,,,,,,,0
8,0,200,123,100,,,,,23.531417012494764,,,,,,,0
8,0,200,124,100,,,,,34.77942769169687,,,,,,,0
8,0,200,125,100,,,,,30.23793411818257,,,,,,,0
8,0,200,126,100,,,,,35.3465555581887,,,,,,,0
8,0,200,127,100,,,,,22.92740037598425,,,,,,,0
8,0,200,128,100,,,,,32.3180959380535,,,,,,,0
8,0,200,129,100,,,,,24.757716510738966,,,,,,,0
8,0,200,100,101,0.053691275167785234,0.05583756345177665,0.06310679611650485,0.06752411575562701,10.770329614269007,0.3098971383793194,5.455272678794342,0.9999266662894489,0.03475247269214854,0.0955697115213745,0.5042294502469193,1
8,0,200,102,101,0.0735826296743064,0.053003533568904596,0.029940119760479042,0.06927710843373494,3.1622776601683795,0.6262474683855946,4.745524207081869,0.9999999987868189,0.03475247269214854,0.1886354753644648,0.5258780024534772,0
8,0,200,103,101,0.053691275167785234,0.05583756345177665,0.029940119760479042,0.06752411575562701,2.8284271247461903,0.6111115693178565,3.420526275297414,0.999999903809366,0.03475247269214854,0.1453775329741711,0.5337328956544363,0
8,0,200,104,101,0.0735826296743064,0.05583756345177665,0.09722222222222222,0.06927710843373494,2.23606797749979,0.5574975168398129,3.8314488121336034,0.9999999998546896,0.03475247269214854,0.21284246623593972,0.5320987144245557,0
8,0,200,105,101,0.0735826296743064,0.053003533568904596,0.06310679611650485,0.06927710843373494,3.1622776601683795,0.5939409607428912,3.6932370625238775,0.9999999998783942,0.03475247269214854,0.2131965569977503,0.5255500386155432,0
8,0,200,106,101,0.0735826296743064,0.053003533568904596,0.03389830508474576,0.06927710843373494,4.123105625617661,0.5758944159239398,5.167204273105526,0.9999999996370075,0.03475247269214854,0.20326098361164435,0.5267717509593333,0
8,0,200,107,101,0.0735826296743064,0.053003533568904596,0.06310679611650485,0.05102040816326531,2.23606797749979,0.5903816351868143,3.2984845004941286,0.9999999890469969,0.03475247269214854,0.16845383332829345,0.5155078252804928,0
8,0,200,108,101,0.0735826296743064,0.053003533568904596,0.08695652173913043,0.05102040816326531,3.1622776601683795,0.5270513309786443,3.7709415269929605,0.9999999999397307,0.03475247269214854,0.2230312535969483,0.5413738561258747,0
8,0,200,109,101,0.0735826296743064,0.05583756345177665,0.029940119760479042,0.05102040816326531,3.1622776601683795,0.5749755042555109,4.18568990729127,0.9999999718624325,0.03475247269214854,0.15972746971587115,0.5230965146845428,0
8,0,200,110,101,0.0735826296743064,0.05583756345177665,0.029940119760479042,0.06927710843373494,2.23606797749979,0.5802056888115164,3.867815921162743,0.9999999996292663,0.03475247269214854,0.20265356605719598,0.5214102626368987,0
8,0,200,111,101,0.053691275167785234,0.05583756345177665,0.08130081300813008,0.05102040816326531,3.0,0.5960655463119724,3.8574603043971822,0.9999996556159778,0.03475247269214854,0.13385394821270913,0.5145708969025425,0
8,0,200,112,101,0.0735826296743064,0.053003533568904596,0.029940119760479042,0.06752411575562701,2.8284271247461903,0.6088947116383561,5.519057890618652,0.9999999992377808,0.03475247269214854,0.1942118034348176,0.5197597494823928,0
8,0,200,113,101,0.053691275167785234,0.08064516129032258,0.029940119760479042,0.05102040816326531,3.1622776601683795,0.6079301518120287,4.458699361921591,0.9999985073276195,0.03475247269214854,0.1188279234626134,0.5073177628530255,0
8,0,200,114,101,0.0735826296743064,0.08064516129032258,0.06310679611650485,0.06752411575562701,3.605551275463989,0.5746399922476558,4.580392996239515,0.9999999981380048,0.03475247269214854,0.18729807340789073,0.5101389433271477,0
8,0,200,115,101,,,,,29.810786106669006,,,,,,,0
8,0,200,116,101,,,,,21.89365324363045,,,,,,,0
8,0,200,117,101,,,,,25.350368704013587,,,,,,,0
8,0,200,118,101,,,,,29.291172309612577,,,,,,,0
8,0,200,119,101,,,,,16.971050048242894,,,,,,,0
8,0,200,120,101,,,,,35.10119184005351,,,,,,,0
8,0,200,121,101,,,,,31.72998865829406,,,,,,,0
8,0,200,122,101,,,,,23.993758005734648,,,,,,,0
8,0,200,123,101,,,,,22.038735097925056,,,,,,,0
8,0,200,124,101,,,,,32.338476891297695,,,,,,,0
8,0,200,125,101,,,,,27.836102389186458,,,,,,,0
8,0,200,126,101,,,,,33.06383033964331,,,,,,,0
8,0,200,127,101,,,,,22.087586733186587,,,,,,,0
8,0,200,128,101,,,,,28.090817578926416,,,,,,,0
8,0,200,129,101,,,,,22.679985457442946,,,,,,,0
8,0,200,100,102,0.0735826296743064,0.05583756345177665,0.09722222222222222,0.16666666666666666,11.045361017187261,0.30353857952327423,5.692099788303083,0.9999999579834431,0.05668799167936733,0.17053342704160257,0.5056892801421647,1
8,0,200,101,102,0.053691275167785234,0.08064516129032258,0.07894736842105263,0.06927710843373494,3.1622776601683795,0.6262474683855946,4.745524207081869,0.9999986045529613,0.05668799167936733,0.11837247261259165,0.5173078821860089,0
8,0,200,103,102,0.0735826296743064,0.08064516129032258,0.07894736842105263,0.06927710843373494,3.605551275463989,0.5650162432272612,6.3118935352238,0.9999999999980793,0.05668799167936733,0.2553638988513819,0.5566925430068073,0
8,0,200,104,102,0.053691275167785234,0.08064516129032258,0.06310679611650485,0.06752411575562701,2.23606797749979,0.6073737203046364,2.894822965226026,0.9999998531799887,0.05668799167936733,0.14165399319359206,0.5166390733051742,0
8,0,200,105,102,0.053691275167785234,0.08064516129032258,0.029940119760479042,0.06752411575562701,3.605551275463989,0.6203447779061267,6.039867548216599,0.9999989301797264,0.05668799167936733,0.12146483038117784,0.5142761202854608,0
8,0,200,106,102,0.053691275167785234,0.053003533568904596,0.06310679611650485,0.06752411575562701,2.8284271247461903,0.6556430898979027,6.074537019394976,0.9999967635383431,0.05668799167936733,0.10876458725944804,0.5063873737328686,0
8,0,200,107,102,0.053691275167785234,0.05583756345177665,0.08130081300813008,0.06752411575562701,3.0,0.6601168781568022,4.664761515876241,0.9999946209615564,0.05668799167936733,0.10347914569186256,0.5071794143113577,0
8,0,200,108,102,0.0735826296743064,0.08064516129032258,0.07894736842105263,0.06752411575562701,2.23606797749979,0.5570091966944452,4.159326868617084,0.9999999680521977,0.05668799167936733,0.15940375756761027,0.5133900436187865,0
8,0,200,109,102,0.0735826296743064,0.08064516129032258,0.06310679611650485,0.05102040816326531,2.8284271247461903,0.5849638467275262,4.514421336118285,0.9999999540327286,0.05668799167936733,0.15435549804138993,0.5201788760976931,0
8,0,200,110,102,0.053691275167785234,0.08064516129032258,0.07894736842105263,0.05102040816326531,2.53224755112299,0.6300694370364869,3.3286633954186478,0.9999998675303092,0.05668799167936733,0.1415854187521356,0.5189786478535381,0
