simulation,method,leader_rank,mean_followers_rank,std_followers_rank,mean_indep_rank,std_indep_rank,delta_FI,followers_at_top15,indep_at_top15,prop_followers_below_leader,prop_pairs_FI_ordered
6,krlflow_only,1.0,9.285714285714286,5.270247641627633,22.266666666666666,5.2973788067517145,12.98095238095238,12,2,1.0,0.9476190476190476
7,tsmi_only,1.0,9.5,5.421517974041693,22.066666666666666,5.626919425602451,12.566666666666666,11,3,1.0,0.9333333333333333
7,tsmi_plus_krl,1.0,9.785714285714286,5.746782595860195,21.8,5.901412260354861,12.014285714285714,11,3,1.0,0.9142857142857143
7,te_only,1.0,8.5,4.031128874149275,23.0,4.320493798938574,14.5,14,0,1.0,1.0
7,te_plus_krl,10.0,8.214285714285714,4.930641387263519,22.666666666666668,4.921607686744467,14.452380952380954,13,1,0.35714285714285715,0.9761904761904762
7,gc_only,2.0,17.071428571428573,7.382065968222154,14.933333333333334,9.1758136181788,-2.1380952380952394,6,8,1.0,0.42857142857142855
7,gc_plus_krl,2.0,9.857142857142858,5.449208892217329,21.666666666666668,6.497862896539309,11.80952380952381,11,3,0.9285714285714286,0.9047619047619048
7,krlflow_only,1.0,9.5,5.421517974041693,22.066666666666666,5.626919425602451,12.566666666666666,11,3,1.0,0.9333333333333333
8,tsmi_only,1.0,8.5,4.031128874149275,23.0,4.320493798938574,14.5,14,0,1.0,1.0
8,tsmi_plus_krl,4.0,8.285714285714286,4.333071682315172,23.0,4.320493798938574,14.714285714285714,14,0,0.7857142857142857,1.0
8,te_only,1.0,8.5,4.031128874149275,23.0,4.320493798938574,14.5,14,0,1.0,1.0
8,te_plus_krl,6.0,8.571428571428571,4.865538961693257,22.6,5.148462553682086,14.02857142857143,13,1,0.6428571428571429,0.9714285714285714
8,gc_only,3.0,14.0,8.709600614100676,17.733333333333334,7.844035242710787,3.7333333333333343,8,6,0.8571428571428571,0.6238095238095238
8,gc_plus_krl,8.0,8.428571428571429,4.995916700013061,22.6,5.070174224488412,14.171428571428573,13,1,0.5,0.9714285714285714
8,krlflow_only,5.0,8.214285714285714,4.394453832934864,23.0,4.320493798938574,14.785714285714286,14,0,0.7142857142857143,1.0
9,tsmi_only,1.0,8.5,4.031128874149275,23.0,4.320493798938574,14.5,14,0,1.0,1.0
9,tsmi_plus_krl,1.0,8.5,4.031128874149275,23.0,4.320493798938574,14.5,14,0,1.0,1.0
9,te_only,1.0,8.5,4.031128874149275,23.0,4.320493798938574,14.5,14,0,1.0,1.0
9,te_plus_krl,13.0,7.642857142857143,4.252850184744056,23.0,4.320493798938574,15.357142857142858,14,0,0.14285714285714285,1.0
9,gc_only,1.0,8.5,4.031128874149275,23.0,4.320493798938574,14.5,14,0,1.0,1.0
9,gc_plus_krl,11.0,7.785714285714286,4.394453832934865,23.0,4.320493798938574,15.214285714285715,14,0,0.2857142857142857,1.0
9,krlflow_only,1.0,8.5,4.031128874149275,23.0,4.320493798938574,14.5,14,0,1.0,1.0
10,tsmi_only,1.0,8.714285714285714,4.430874976934521,22.8,4.607240678178933,14.085714285714287,13,1,1.0,0.9857142857142858
10,tsmi_plus_krl,1.0,8.571428571428571,4.15269767249961,22.933333333333334,4.434210439550904,14.361904761904762,13,1,1.0,0.9952380952380953
10,te_only,1.0,8.5,4.031128874149275,23.0,4.320493798938574,14.5,14,0,1.0,1.0
10,te_plus_krl,12.0,7.785714285714286,4.4589968671467455,22.933333333333334,4.434210439550904,15.147619047619049,13,1,0.21428571428571427,0.9952380952380953
10,gc_only,1.0,15.5,9.248552010218372,16.466666666666665,7.419493843173461,0.966666666666665,8,6,1.0,0.5333333333333333
10,gc_plus_krl,10.0,8.0,4.69041575982343,22.866666666666667,4.529410067056808,14.866666666666667,13,1,0.35714285714285715,0.9904761904761905
10,krlflow_only,1.0,8.5,4.031128874149275,23.0,4.320493798938574,14.5,14,0,1.0,1.0
